"variable","coefficient","std_error","t_value","p_value","dataset","model","significance"
"GIMR",0.712874371377052,0.566419725834849,1.25856205012342,0.208273573557497,"CAFD Off Grades","Player",""
"GIMR",0.847781077361688,0.577598584053449,1.46776862126663,0.142258320148771,"CAFD Off Yards","Player","."
"GIMR",0.664333986874027,0.55800093760333,1.19056070000063,0.233907950859572,"CAFD Off TDs","Player",""
"GIMR",0.726753766193999,0.597770813217632,1.21577325310028,0.224154228708747,"CAFD Off Specifics","Player",""
"GIMR",0.551946381129656,0.537523353374722,1.02683237419246,0.304571409996704,"CAFD Off First Downs","Player",""
"GIMR",0.368683650904463,0.537472513800947,0.685958149370602,0.492785659571553,"CAFD Def Stops","Player",""
"GIMR",9.31528841787828,2.54308117630838,3.66299294912821,0.000253024172096322,"CAFD Def Grades","Player","***"
"GIMR",-2.39312966121825,6.80586031195678,-0.351627795976641,0.725138984103997,"CAFD Def Specifics","Player",""
"GIMR",0.649065596514025,0.541431004989669,1.19879650506238,0.230689107552426,"CAFD Def Tackles","Player",""
"GIMR",0.600931620331132,0.53576542681695,1.12163194982801,0.262096504442385,"CAFD Def Pressure","Player",""
"GIMR",0.340159036168106,0.537549162630404,0.632796141851651,0.526909008744113,"CAFD Def Pressure","Starter",""
